Año;Trimestre;Provincia;ADSL;Cablemodem;Fibra óptica;Wireless;Otros;TConexiones;Nuevo_Acceso
2020;4;Santiago Del Estero;27;71;570;5;4;677;690,54
2020;4;Tierra Del Fuego;13;26;6;0;316;361;368,22
2020;4;Tucumán;149;11;68;2;740;970;989,4
2020;3;Buenos Aires;654;2;749;94;56;1555;1586,1
2020;3;Capital Federal;170;1;39;4;29;243;247,86
2020;3;Catamarca;27;4;17;261;2;311;317,22
2020;3;Chaco;46;59;21;7;2;135;137,7
2020;3;Chubut;46;39;3;23;19;130;132,6
2020;3;Córdoba;276;431;102;48;10;867;884,34
2020;3;Corrientes;51;59;3;6;5;124;126,48
2020;3;Entre Ríos;88;107;14;20;12;241;245,82
2020;3;Formosa;22;10;2;15;393;442;450,84
2020;3;Jujuy;33;58;11;952;4;1058;1079,16
2020;3;La Pampa;9;57;15;12;1;94;95,88
2020;3;La Rioja;17;35;1;250;35;338;344,76
2020;3;Mendoza;92;65;33;18;868;1076;1097,52
2020;3;Misiones;50;78;3;3;9;143;145,86
2020;3;Neuquén;30;70;11;17;737;865;882,3
2020;3;Río Negro;50;40;10;13;18;131;133,62
2020;3;Salta;58;84;25;6;7;180;183,6
2020;3;San Juan;40;9;6;14;8;77;78,54
2020;3;San Luis;8;10;6;62;36;122;124,44
2020;3;Santa Cruz;13;16;1;7;2;39;39,78
2020;3;Santa Fe;295;406;46;37;19;803;819,06
2020;3;Santiago Del Estero;26;71;555;4;4;660;673,2
2020;3;Tierra Del Fuego;13;26;0;0;310;349;355,98
2020;3;Tucumán;150;12;60;2;762;986;1005,72
2020;2;Buenos Aires;661;2;723;92;57;1535;1565,7
2020;2;Capital Federal;179;1;39;4;29;252;257,04
2020;2;Catamarca;27;4;15;261;2;309;315,18
2020;2;Chaco;47;56;17;6;2;128;130,56
2020;2;Chubut;46;38;1;18;6;109;111,18
2020;2;Córdoba;283;415;86;45;8;837;853,74
2020;2;Corrientes;51;56;3;4;5;119;121,38
2020;2;Entre Ríos;89;99;14;20;11;233;237,66
2020;2;Formosa;22;9;2;15;169;217;221,34
2020;2;Jujuy;33;39;5;952;17;1046;1066,92
2020;2;La Pampa;9;54;14;11;1;89;90,78
2020;2;La Rioja;17;35;1;250;35;338;344,76
2020;2;Mendoza;92;63;30;16;802;1003;1023,06
2020;2;Misiones;51;74;3;3;9;140;142,8
2020;2;Neuquén;30;68;11;16;1;126;128,52
2020;2;Río Negro;50;40;10;11;18;129;131,58
2020;2;Salta;60;82;24;5;7;178;181,56
2020;2;San Juan;40;8;6;7;9;70;71,4
2020;2;San Luis;8;8;6;61;36;119;121,38
2020;2;Santa Cruz;13;16;1;7;2;39;39,78
2020;2;Santa Fe;300;382;47;30;19;778;793,56
2020;2;Santiago Del Estero;26;72;355;3;4;460;469,2
2020;2;Tierra Del Fuego;13;26;0;0;310;349;355,98
2020;2;Tucumán;150;10;55;1;762;978;997,56
2020;1;Buenos Aires;673;2;721;85;18;1499;1528,98
2020;1;Capital Federal;184;1;39;4;29;257;262,14
2020;1;Catamarca;22;3;12;261;2;300;306
2020;1;Chaco;46;54;12;6;2;120;122,4
2020;1;Chubut;46;27;1;17;5;96;97,92
2020;1;Córdoba;286;406;69;42;9;812;828,24
2020;1;Corrientes;51;53;2;2;5;113;115,26
2020;1;Entre Ríos;90;95;13;19;14;231;235,62
2020;1;Formosa;21;9;2;15;169;216;220,32
2020;1;Jujuy;32;39;3;942;17;1033;1053,66
2020;1;La Pampa;9;54;14;11;2;90;91,8
2020;1;La Rioja;13;35;0;251;29;328;334,56
2020;1;Mendoza;92;50;28;12;722;904;922,08
2020;1;Misiones;51;69;1;460;11;592;603,84
2020;1;Neuquén;29;66;11;15;729;850;867
2020;1;Río Negro;48;38;10;11;18;125;127,5
2020;1;Salta;60;76;23;4;7;170;173,4
2020;1;San Juan;40;6;6;7;5;64;65,28
2020;1;San Luis;8;8;5;58;36;115;117,3
2020;1;Santa Cruz;13;16;1;7;2;39;39,78
2020;1;Santa Fe;302;384;35;30;19;770;785,4
2020;1;Santiago Del Estero;25;70;200;3;5;303;309,06
2020;1;Tierra Del Fuego;13;26;0;0;308;347;353,94
2020;1;Tucumán;143;10;45;1;347;546;556,92
2019;4;Buenos Aires;720;2;669;87;18;1496;1525,92
2019;4;Capital Federal;197;1;36;4;29;267;272,34
2019;4;Catamarca;23;3;10;261;2;299;304,98
2019;4;Chaco;49;54;9;5;2;119;121,38
2019;4;Chubut;47;27;1;15;5;95;96,9
