Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,TConexiones
2020,4,Chaco,44,61,24,8,2,139
2020,4,Chubut,46,40,3,23,19,131
2020,4,Córdoba,267,439,126,53,18,903
2020,4,Corrientes,50,61,3,6,5,125
2020,4,Entre Ríos,86,114,16,20,12,248
2020,4,Formosa,21,11,2,15,380,429
2020,4,Jujuy,33,53,16,1,3,106
2020,4,La Pampa,9,59,15,12,1,96
2020,4,La Rioja,18,35,1,250,30,334
2020,4,Mendoza,92,68,36,18,833,1047
2020,4,Misiones,49,80,7,4,7,147
2020,4,Neuquén,30,71,14,18,632,765
2020,4,Río Negro,49,42,18,14,18,141
2020,4,Salta,57,88,31,6,6,188
2020,4,San Juan,40,7,7,10,8,72
2020,4,San Luis,8,12,27,63,36,146
2020,4,Santa Cruz,12,20,1,5,3,41
2020,4,Santa Fe,287,415,63,39,17,821
2020,4,Santiago Del Estero,27,71,570,5,4,677
2020,4,Tierra Del Fuego,13,26,6,0,316,361
2020,4,Tucumán,149,11,68,2,740,970
2020,3,Buenos Aires,654,2,749,94,56,1555
2020,3,Capital Federal,170,1,39,4,29,243
2020,3,Catamarca,27,4,17,261,2,311
2020,3,Chaco,46,59,21,7,2,135
2020,3,Chubut,46,39,3,23,19,130
2020,3,Córdoba,276,431,102,48,10,867
2020,3,Corrientes,51,59,3,6,5,124
2020,3,Entre Ríos,88,107,14,20,12,241
2020,3,Formosa,22,10,2,15,393,442
2020,3,Jujuy,33,58,11,952,4,1058
2020,3,La Pampa,9,57,15,12,1,94
2020,3,La Rioja,17,35,1,250,35,338
2020,3,Mendoza,92,65,33,18,868,1076
2020,3,Misiones,50,78,3,3,9,143
2020,3,Neuquén,30,70,11,17,737,865
2020,3,Río Negro,50,40,10,13,18,131
2020,3,Salta,58,84,25,6,7,180
2020,3,San Juan,40,9,6,14,8,77
2020,3,San Luis,8,10,6,62,36,122
2020,3,Santa Cruz,13,16,1,7,2,39
2020,3,Santa Fe,295,406,46,37,19,803
2020,3,Santiago Del Estero,26,71,555,4,4,660
2020,3,Tierra Del Fuego,13,26,0,0,310,349
2020,3,Tucumán,150,12,60,2,762,986
2020,2,Buenos Aires,661,2,723,92,57,1535
2020,2,Capital Federal,179,1,39,4,29,252
2020,2,Catamarca,27,4,15,261,2,309
2020,2,Chaco,47,56,17,6,2,128
2020,2,Chubut,46,38,1,18,6,109
2020,2,Córdoba,283,415,86,45,8,837
2020,2,Corrientes,51,56,3,4,5,119
2020,2,Entre Ríos,89,99,14,20,11,233
2020,2,Formosa,22,9,2,15,169,217
2020,2,Jujuy,33,39,5,952,17,1046
2020,2,La Pampa,9,54,14,11,1,89
2020,2,La Rioja,17,35,1,250,35,338
2020,2,Mendoza,92,63,30,16,802,1003
2020,2,Misiones,51,74,3,3,9,140
2020,2,Neuquén,30,68,11,16,1,126
2020,2,Río Negro,50,40,10,11,18,129
2020,2,Salta,60,82,24,5,7,178
2020,2,San Juan,40,8,6,7,9,70
2020,2,San Luis,8,8,6,61,36,119
2020,2,Santa Cruz,13,16,1,7,2,39
2020,2,Santa Fe,300,382,47,30,19,778
2020,2,Santiago Del Estero,26,72,355,3,4,460
2020,2,Tierra Del Fuego,13,26,0,0,310,349
2020,2,Tucumán,150,10,55,1,762,978
2020,1,Buenos Aires,673,2,721,85,18,1499
2020,1,Capital Federal,184,1,39,4,29,257
2020,1,Catamarca,22,3,12,261,2,300
2020,1,Chaco,46,54,12,6,2,120
2020,1,Chubut,46,27,1,17,5,96
2020,1,Córdoba,286,406,69,42,9,812
2020,1,Corrientes,51,53,2,2,5,113
2020,1,Entre Ríos,90,95,13,19,14,231
2020,1,Formosa,21,9,2,15,169,216
2020,1,Jujuy,32,39,3,942,17,1033
2020,1,La Pampa,9,54,14,11,2,90
2020,1,La Rioja,13,35,0,251,29,328
2020,1,Mendoza,92,50,28,12,722,904
2020,1,Misiones,51,69,1,460,11,592
2020,1,Neuquén,29,66,11,15,729,850
2020,1,Río Negro,48,38,10,11,18,125
2020,1,Salta,60,76,23,4,7,170
2020,1,San Juan,40,6,6,7,5,64
2020,1,San Luis,8,8,5,58,36,115
2020,1,Santa Cruz,13,16,1,7,2,39
2020,1,Santa Fe,302,384,35,30,19,770
2020,1,Santiago Del Estero,25,70,200,3,5,303
2020,1,Tierra Del Fuego,13,26,0,0,308,347
2020,1,Tucumán,143,10,45,1,347,546
2019,4,Buenos Aires,720,2,669,87,18,1496
2019,4,Capital Federal,197,1,36,4,29,267
2019,4,Catamarca,23,3,10,261,2,299
2019,4,Chaco,49,54,9,5,2,119
2019,4,Chubut,47,27,1,15,5,95
2019,4,Córdoba,297,410,53,38,9,807
2019,4,Corrientes,53,52,2,2,5,114
2019,4,Entre Ríos,93,99,13,19,15,239
2019,4,Formosa,22,9,2,15,169,217
2019,4,Jujuy,33,38,873,814,17,1775
2019,4,La Pampa,15,57,5,11,2,90
2019,4,La Rioja,14,35,0,251,29,329
2019,4,Mendoza,97,50,25,14,730,916
2019,4,Misiones,53,70,847,441,12,1423
2019,4,Neuquén,30,61,11,14,854,970
2019,4,Río Negro,50,38,10,11,18,127
2019,4,Salta,63,76,22,3,8,172
2019,4,San Juan,41,6,5,7,5,64
2019,4,San Luis,9,8,6,55,36,114
2019,4,Santa Cruz,13,16,1,7,2,39
2019,4,Santa Fe,312,382,27,27,20,768
